id_author,author,text,sentimen
UCtEHE6vcn4rs_vULqkXbgGQ,@arsyilaadventure3865,ALLOHUMMA SHOLI 'ALAA MUHAMMADIN WASALLIM,Positif
UC-Gv5uvl3QGEsNPOzQAOr1A,@leonbapuk,HIDUP JOKOWIII.... 😂😂😂 .... TERUSKAN JOKOWI DENGAN KERAKUSAN u selama ini..... 😂😂😂😂,Negatif
UCzBD_VnIWhJGMzmm4J6BBjA,@Agung_Raffasya,Kli aja opung tau tuh 😂😅,Netral
UCiUXyKjHTaImCZv73cQH9VA,@asepnandang4613,😮,Netral
UCrqAGie850TIliPqQM-hoFQ,@walangsangit7814,"Indonesia dalam genggaman jokowi,siapa yg berani akan mati",Negatif
UCk-femGtRbpT_i4AUc26fEw,@HalimGarut-tp2jc,Benar kata pak Anis nilai Mentri pertahanan pakprabowo nilainya masih rendah..ternyata benar,Netral
UCkELHYakPADWEIFwsREpl4g,@FathrialThabrani,Tangkap pengkianat bangsa😂😂😂😂,Negatif
UCWdXduPqYLn3B_3X4Catpig,@ptdal8863,Dulu menhan nya siapa? bisa ga tau jg ...,Netral
UCL_UqhdCa0qbeePjmIiJdpw,@Jaya_NBA,Usut tuntas ..termasuk Kong kalikong Jokowi jg Luhut,Negatif
UC0MQs3rkM8w7ruKl24HbltQ,@GustavoLapis,Pendukung jokowi yg dulu pada ngumpet,Negatif
UCBUScN7cIdB5UnmCIyzV6Kg,@Joan-3ip,SEMUA BERLAGAK TIDAK TAHU. SEMUA BERSANDIWARA DENGAN BAIK.,Negatif
UCyaI2UmY2IbM421KSsl5Bng,@Bravo91-ot3rd,Jangan cuman bandara IMIP bandara IWIP Weda juga di selidiki,Netral
UCjnWG__8HTueE2R6XnKl4Qg,@DeriAndreasapriliana,"Panggil mulyono hrs tgjb,hukum seberat berat ya,",Negatif
UCjnWG__8HTueE2R6XnKl4Qg,@DeriAndreasapriliana,Tegakan hukum! Tindak org tercorup ke 3 didunia.jgn dilindungi parcok.jarkowi 3 priode gawat negara,Negatif
UC-rIghcOJYud1vs1tM8hRaw,@indralesmana8196,"Yg mengijinkn adalah penghianat negara, harus d hukum mati..",Negatif
UCXsvY7bYheUZVC9QInYLm6A,@SiskaYuliPratami-,Jokowi Mafia,Negatif
UCub3MAn60abBaqtD32Rcr5w,@Kyrarany,Biang kerok nya tahu lah..,Negatif
UCLW7Si6IWjzoiP4hWEUSHJA,@BudiSantoso-oc4dv,"Banyak  Pengkhianat  di  :
NKRI   . 
Stoop  puja  puji  Jokowi  . 

Jokowi  :  Ternyata   hadirkan  PKI  . 

Sebagai  bukti  :  
Bandara  ilegal  yaitu
Bandara  MOROWALI  .",Negatif
UCkrRV8MjDgGASVrHlOswi6w,@CorbinAlways,Luhut ada di jejak digita,Negatif
UCNb_c_UEA33Sxf5mOh6bOnw,@JulianiGinting-bd1lh,Nyesel deh mengelu-elukan mantan presid...,Negatif
UCFzhO1zb2mEi-LNpALFQ2LQ,@dolken0999,💚💚💚💚,Netral
UCFzhO1zb2mEi-LNpALFQ2LQ,@dolken0999,💚💚💚💚💚,Netral
